id,active,name,type,application,amount,times_to_run,limit_adjustments,period_days,max_amount_per_period,taxes,roles,data_service,upload_in_kilobits,download_in_kilobits,technology_code,usage_based_billing_policy_id,unit_quantity_in_gigabytes,general_ledger_code_id,tax_exemption_amount,voice_service,unlimited_local_minutes,unlimited_long_distance_minutes,local_minutes,local_minutes_amount,long_distance_minutes,long_distance_minutes_amount,first_interval_in_seconds,sub_interval_in_seconds,local_prefixes,inbound_toll_free_rate,billing_frequency_in_months,account_groups
97,True,WN WAN 1.5Mbps,recurring,debit,299.95,0,False,0,0,[],[],True,5000,5000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
98,True,WN WAN 512Kbps,recurring,debit,119.95,0,False,0,0,[],[],True,512,512,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
99,True,WN WDSL WAN 1Mbps,recurring,debit,49.95,0,False,0,0,[],[],True,1000,1000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
100,True,WN WDSL WAN 2Mbps,recurring,debit,59.95,0,False,0,0,[],[],True,2000,2000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
101,True,WN WDSL WAN 4Mbps,recurring,debit,74.95,0,False,0,0,[],[],True,4000,4000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
102,True,WN WDSL WAN 512Kbps,recurring,debit,39.95,0,False,0,0,[],[],True,512,512,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
103,True,Webhosting,recurring,debit,25,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
104,True,100 Mbps ISP DIA,recurring,debit,775,0,False,0,0,[],[],True,100000,100000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
105,True,14 Static IP /28,recurring,debit,99,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
106,True,150 Emails Accounts,recurring,debit,50,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
107,True,Legacy Broadband Plan,recurring,debit,79.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
110,True,Test Credit 1 Month,expiring,credit,99,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
111,True,Reconnection Fee,one time,debit,50,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
113,True,Cable Drop,one time,debit,150,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
114,True,Double Upload to 20/6,recurring,debit,19.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
115,True,AERONET- 1 Year Contract Installation Fee,one time,debit,299,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
116,True,One Month Deposit,one time,debit,129.35,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
